type;n;comp;shifts
quicksort;10;26;26
quicksort;10;23;16
quicksort;10;22;20
quicksort;10;20;16
quicksort;10;24;17
quicksort;10;24;20
quicksort;10;37;37
quicksort;10;21;19
quicksort;10;25;23
quicksort;10;32;22
quicksort;10;21;14
quicksort;10;27;21
quicksort;10;36;30
quicksort;10;22;20
quicksort;10;33;30
quicksort;10;30;13
quicksort;10;24;25
quicksort;10;27;27
quicksort;10;22;20
quicksort;10;29;25
quicksort;10;22;13
quicksort;10;23;20
quicksort;10;29;23
quicksort;10;27;12
quicksort;10;22;20
quicksort;10;31;31
quicksort;10;25;20
quicksort;10;25;26
quicksort;10;23;18
quicksort;10;23;15
quicksort;10;25;16
quicksort;10;30;23
quicksort;10;21;18
quicksort;10;25;26
quicksort;10;24;15
quicksort;10;30;22
quicksort;10;25;12
quicksort;10;28;29
quicksort;10;34;23
quicksort;10;20;18
quicksort;10;29;15
quicksort;10;36;20
quicksort;10;19;17
quicksort;10;23;24
quicksort;10;20;15
quicksort;10;26;15
quicksort;10;21;17
quicksort;10;22;19
quicksort;10;20;16
quicksort;10;29;25
quicksort;10;21;16
quicksort;10;28;27
quicksort;10;22;22
quicksort;10;32;17
quicksort;10;20;13
quicksort;10;27;27
quicksort;10;25;19
quicksort;10;23;22
quicksort;10;27;18
quicksort;10;21;15
quicksort;10;21;18
quicksort;10;22;22
quicksort;10;33;24
quicksort;10;27;28
quicksort;10;27;13
quicksort;10;24;19
quicksort;10;24;15
quicksort;10;21;14
quicksort;10;21;19
quicksort;10;23;17
quicksort;10;21;21
quicksort;10;20;16
quicksort;10;25;14
quicksort;10;21;21
quicksort;10;23;21
quicksort;10;20;14
quicksort;10;21;15
quicksort;10;29;22
quicksort;10;23;18
quicksort;10;23;23
quicksort;10;25;27
quicksort;10;21;14
quicksort;10;24;25
quicksort;10;22;17
quicksort;10;35;29
quicksort;10;22;17
quicksort;10;24;17
quicksort;10;19;16
quicksort;10;19;15
quicksort;10;25;27
quicksort;10;19;14
quicksort;10;23;13
quicksort;10;39;44
quicksort;10;23;21
quicksort;10;19;16
quicksort;10;23;20
quicksort;10;21;15
quicksort;10;22;15
quicksort;10;19;13
quicksort;10;23;18
quicksort;20;61;56
quicksort;20;84;59
quicksort;20;77;46
quicksort;20;79;39
quicksort;20;57;45
quicksort;20;67;52
quicksort;20;70;55
quicksort;20;70;48
quicksort;20;71;64
quicksort;20;70;39
quicksort;20;68;39
quicksort;20;96;85
quicksort;20;57;44
quicksort;20;64;49
quicksort;20;85;69
quicksort;20;68;42
quicksort;20;77;57
quicksort;20;73;55
quicksort;20;68;49
quicksort;20;77;62
quicksort;20;75;53
quicksort;20;81;57
quicksort;20;90;83
quicksort;20;69;52
quicksort;20;71;53
quicksort;20;68;55
quicksort;20;66;56
quicksort;20;69;59
quicksort;20;72;60
quicksort;20;69;58
quicksort;20;56;43
quicksort;20;68;51
quicksort;20;60;52
quicksort;20;71;48
quicksort;20;72;59
quicksort;20;73;53
quicksort;20;72;52
quicksort;20;78;43
quicksort;20;61;48
quicksort;20;70;49
quicksort;20;63;42
quicksort;20;79;62
quicksort;20;70;40
quicksort;20;72;61
quicksort;20;88;66
quicksort;20;78;74
quicksort;20;69;59
quicksort;20;91;81
quicksort;20;74;48
quicksort;20;61;46
quicksort;20;91;71
quicksort;20;58;40
quicksort;20;89;55
quicksort;20;85;38
quicksort;20;71;49
quicksort;20;89;87
quicksort;20;97;89
quicksort;20;67;42
quicksort;20;76;58
quicksort;20;60;39
quicksort;20;63;37
quicksort;20;63;43
quicksort;20;69;54
quicksort;20;67;54
quicksort;20;62;49
quicksort;20;74;46
quicksort;20;77;59
quicksort;20;78;36
quicksort;20;59;41
quicksort;20;74;33
quicksort;20;62;50
quicksort;20;72;54
quicksort;20;76;37
quicksort;20;73;41
quicksort;20;70;55
quicksort;20;88;87
quicksort;20;59;50
quicksort;20;61;43
quicksort;20;72;40
quicksort;20;77;56
quicksort;20;79;40
quicksort;20;65;33
quicksort;20;69;46
quicksort;20;96;51
quicksort;20;76;57
quicksort;20;70;48
quicksort;20;85;52
quicksort;20;73;55
quicksort;20;64;41
quicksort;20;62;45
quicksort;20;66;56
quicksort;20;64;56
quicksort;20;82;71
quicksort;20;57;43
quicksort;20;68;61
quicksort;20;72;58
quicksort;20;76;62
quicksort;20;72;66
quicksort;20;91;87
quicksort;20;61;45
quicksort;30;127;96
quicksort;30;111;84
quicksort;30;137;78
quicksort;30;121;98
quicksort;30;123;83
quicksort;30;157;125
quicksort;30;144;115
quicksort;30;113;76
quicksort;30;134;91
quicksort;30;104;63
quicksort;30;108;84
quicksort;30;117;58
quicksort;30;116;95
quicksort;30;124;103
quicksort;30;141;66
quicksort;30;116;72
quicksort;30;131;90
quicksort;30;137;94
quicksort;30;127;109
quicksort;30;125;78
quicksort;30;147;97
quicksort;30;160;110
quicksort;30;116;75
quicksort;30;129;83
quicksort;30;115;93
quicksort;30;133;88
quicksort;30;120;91
quicksort;30;134;101
quicksort;30;144;91
quicksort;30;133;109
quicksort;30;123;94
quicksort;30;118;66
quicksort;30;155;64
quicksort;30;108;69
quicksort;30;137;86
quicksort;30;123;88
quicksort;30;134;82
quicksort;30;109;80
quicksort;30;126;105
quicksort;30;154;108
quicksort;30;139;89
quicksort;30;125;91
quicksort;30;127;95
quicksort;30;143;96
quicksort;30;115;61
quicksort;30;111;81
quicksort;30;142;59
quicksort;30;153;107
quicksort;30;124;72
quicksort;30;130;107
quicksort;30;140;104
quicksort;30;146;91
quicksort;30;143;123
quicksort;30;110;87
quicksort;30;120;77
quicksort;30;143;88
quicksort;30;133;89
quicksort;30;137;99
quicksort;30;120;72
quicksort;30;113;86
quicksort;30;155;121
quicksort;30;121;57
quicksort;30;118;80
quicksort;30;127;100
quicksort;30;126;82
quicksort;30;131;81
quicksort;30;154;115
quicksort;30;129;77
quicksort;30;119;86
quicksort;30;131;88
quicksort;30;134;74
quicksort;30;116;78
quicksort;30;130;68
quicksort;30;142;98
quicksort;30;145;125
quicksort;30;140;99
quicksort;30;129;78
quicksort;30;127;86
quicksort;30;145;62
quicksort;30;147;107
quicksort;30;143;99
quicksort;30;108;93
quicksort;30;120;95
