size;n;k;comp;swaps
select;100;0;177;538
select;100;0;159;503
select;100;0;202;594
select;100;0;182;559
select;100;0;143;451
select;100;0;154;479
select;100;0;169;569
select;100;0;150;469
select;100;0;181;546
select;100;0;185;620
select;100;0;183;583
select;100;0;177;549
select;100;0;189;574
select;100;0;194;607
select;100;0;160;524
select;100;0;164;532
select;100;0;185;540
select;100;0;168;534
select;100;0;178;585
select;100;0;186;564
select;100;0;185;559
select;100;0;183;583
select;100;0;161;520
select;100;0;157;462
select;100;0;187;543
select;100;0;176;556
select;100;0;163;510
select;100;0;164;460
select;100;0;187;597
select;100;0;174;564
select;100;0;156;521
select;100;0;178;578
select;100;0;181;593
select;100;0;178;526
select;100;0;186;554
select;100;0;165;505
select;100;0;163;514
select;100;0;168;543
select;100;0;201;611
select;100;0;146;488
select;100;0;171;555
select;100;0;187;575
select;100;0;181;552
select;100;0;174;545
select;100;0;166;518
select;100;0;187;565
select;100;0;167;540
select;100;0;164;525
select;100;0;190;580
select;100;0;150;468
select;100;0;195;608
select;100;0;151;507
select;100;0;171;490
select;100;0;176;543
select;100;0;173;513
select;100;0;185;572
select;100;0;190;597
select;100;0;142;444
select;100;0;165;537
select;100;0;156;499
select;100;0;151;457
select;100;0;182;577
select;100;0;192;553
select;100;0;164;528
select;100;0;147;538
select;100;0;157;528
select;100;0;174;564
select;100;0;172;515
select;100;0;179;563
select;100;0;181;580
select;100;0;175;552
select;100;0;190;607
select;100;0;175;575
select;100;0;134;410
select;100;0;167;499
select;100;0;179;548
select;100;0;166;538
select;100;0;159;506
select;100;0;158;545
select;100;0;181;591
select;100;0;177;543
select;100;0;180;539
select;100;0;155;488
select;100;0;164;500
select;100;0;170;533
select;100;0;165;554
select;100;0;166;526
select;100;0;181;581
select;100;0;141;471
select;100;0;170;534
select;100;0;179;552
select;100;0;187;618
select;100;0;162;534
select;100;0;195;603
select;100;0;160;480
select;100;0;178;548
select;100;0;154;518
select;100;0;159;523
select;100;0;192;593
select;100;0;171;509
select;100;100/4;165;451
select;100;100/4;167;500
select;100;100/4;143;476
select;100;100/4;178;538
select;100;100/4;183;558
select;100;100/4;166;512
select;100;100/4;163;532
select;100;100/4;158;517
select;100;100/4;151;423
select;100;100/4;145;461
select;100;100/4;161;493
select;100;100/4;
select;100;100/4;
select;100;100/4;
select;100;100/4;158;511
select;100;100/4;151;462
select;100;100/4;167;557
select;100;100/4;
select;100;100/4;175;544
select;100;100/4;150;522
select;100;100/4;170;515
select;100;100/4;
select;100;100/4;137;443
select;100;100/4;
select;100;100/4;
select;100;100/4;173;516
select;100;100/4;138;487
select;100;100/4;
select;100;100/4;167;528
select;100;100/4;185;540
select;100;100/4;169;525
select;100;100/4;
select;100;100/4;
select;100;100/4;155;477
select;100;100/4;171;514
select;100;100/4;
select;100;100/4;169;527
select;100;100/4;
select;100;100/4;
select;100;100/4;
select;100;100/4;151;471
select;100;100/4;151;458
select;100;100/4;
select;100;100/4;
select;100;100/4;153;486
select;100;100/4;
select;100;100/4;167;540
select;100;100/4;
select;100;100/4;152;526
select;100;100/4;160;477
select;100;100/4;152;522
select;100;100/4;167;492
select;100;100/4;190;551
select;100;100/4;170;507
select;100;100/4;162;506
select;100;100/4;
select;100;100/4;160;493
select;100;100/4;
select;100;100/4;180;556
select;100;100/4;111;367
select;100;100/4;
select;100;100/4;143;436
select;100;100/4;155;486
select;100;100/4;
select;100;100/4;146;473
select;100;100/4;203;588
select;100;100/4;170;506
select;100;100/4;161;493
select;100;100/4;162;489
select;100;100/4;177;550
select;100;100/4;164;517
