type;n;k;comp;shifts
select;100;0;224;452
select;100;0;223;442
select;100;0;263;501
select;100;0;218;422
select;100;0;269;510
select;100;0;256;470
select;100;0;253;462
select;100;0;239;462
select;100;0;221;405
select;100;0;258;478
select;100;0;253;490
select;100;0;234;464
select;100;0;252;483
select;100;0;261;484
select;100;0;267;532
select;100;0;268;500
select;100;0;256;512
select;100;0;255;487
select;100;0;254;490
select;100;0;258;474
select;100;0;228;442
select;100;0;268;510
select;100;0;278;517
select;100;0;221;423
select;100;0;231;443
select;100;0;241;469
select;100;0;253;459
select;100;0;208;416
select;100;0;263;501
select;100;0;249;504
select;100;0;243;459
select;100;0;256;487
select;100;0;212;377
select;100;0;234;440
select;100;0;241;479
select;100;0;248;484
select;100;0;275;510
select;100;0;253;518
select;100;0;221;423
select;100;0;199;370
select;100;0;270;512
select;100;0;255;494
select;100;0;232;433
select;100;0;245;488
select;100;0;232;470
select;100;0;227;440
select;100;0;257;484
select;100;0;283;545
select;100;0;199;401
select;100;0;257;496
select;100;0;222;427
select;100;0;240;458
select;100;0;249;502
select;100;0;247;490
select;100;0;229;429
select;100;0;202;401
select;100;0;264;520
select;100;0;269;516
select;100;0;230;447
select;100;0;252;485
select;100;0;243;457
select;100;0;235;473
select;100;0;237;453
select;100;0;247;491
select;100;0;249;468
select;100;0;258;485
select;100;0;241;471
select;100;0;281;512
select;100;0;244;477
select;100;0;246;505
select;100;0;262;490
select;100;0;249;493
select;100;0;251;481
select;100;0;244;457
select;100;0;249;487
select;100;0;253;487
select;100;0;243;476
select;100;0;280;540
select;100;0;258;510
select;100;0;246;466
select;100;0;241;446
select;100;0;250;493
select;100;0;257;508
select;100;0;249;473
select;100;0;242;474
select;100;0;256;491
select;100;0;244;455
select;100;0;256;499
select;100;0;230;440
select;100;0;293;559
select;100;0;251;493
select;100;0;229;437
select;100;0;235;455
select;100;0;225;436
select;100;0;249;482
select;100;0;238;451
select;100;0;230;458
select;100;0;224;426
select;100;0;255;502
select;100;0;238;444
select;100;100/4;218;405
select;100;100/4;218;433
select;100;100/4;205;419
select;100;100/4;260;462
select;100;100/4;227;439
select;100;100/4;254;461
select;100;100/4;197;396
select;100;100/4;230;445
select;100;100/4;217;413
select;100;100/4;218;415
select;100;100/4;232;433
