type;n;k;comp;swaps
select;100;0;249;465
select;100;0;212;391
select;100;0;240;489
select;100;0;252;477
select;100;0;227;455
select;100;0;244;459
select;100;0;260;508
select;100;0;242;467
select;100;0;240;451
select;100;0;239;450
select;100;0;255;491
select;100;0;210;398
select;100;0;306;574
select;100;0;269;499
select;100;0;268;504
select;100;0;250;485
select;100;0;229;441
select;100;0;263;500
select;100;0;218;421
select;100;0;247;492
select;100;0;254;515
select;100;0;233;468
select;100;0;260;508
select;100;0;249;481
select;100;0;266;550
select;100;0;267;490
select;100;0;258;499
select;100;0;277;516
select;100;0;262;496
select;100;0;246;475
select;100;0;257;509
select;100;0;220;440
select;100;0;268;505
select;100;0;274;514
select;100;0;252;480
select;100;0;233;447
select;100;0;229;441
select;100;0;237;466
select;100;0;234;478
select;100;0;233;431
select;100;0;244;462
select;100;0;246;467
select;100;0;265;468
select;100;0;243;442
select;100;0;238;454
select;100;0;251;447
select;100;0;204;397
select;100;0;251;481
select;100;0;273;530
select;100;0;235;483
select;100;0;213;444
select;100;0;251;486
select;100;0;214;414
select;100;0;219;430
select;100;0;271;521
select;100;0;238;474
select;100;0;233;445
select;100;0;250;501
select;100;0;239;418
select;100;0;239;460
select;100;0;266;485
select;100;0;210;428
select;100;0;246;448
select;100;0;256;494
select;100;0;265;531
select;100;0;262;481
select;100;0;212;418
select;100;0;266;482
select;100;0;251;470
select;100;0;276;556
select;100;0;226;438
select;100;0;232;452
select;100;0;254;476
select;100;0;234;442
select;100;0;249;473
select;100;0;218;407
select;100;0;244;465
select;100;0;249;470
select;100;0;213;389
select;100;0;270;512
select;100;0;227;452
select;100;0;244;494
select;100;0;242;524
select;100;0;256;480
select;100;0;217;426
select;100;0;235;446
select;100;0;276;503
select;100;0;248;460
select;100;0;266;509
select;100;0;217;444
select;100;0;286;540
select;100;0;235;466
select;100;0;244;445
select;100;0;244;478
select;100;0;228;452
select;100;0;212;439
select;100;0;213;416
select;100;0;236;454
select;100;0;202;398
select;100;0;190;385
select;100;100/4;223;430
select;100;100/4;205;402
select;100;100/4;
select;100;100/4;255;472
select;100;100/4;
select;100;100/4;208;419
select;100;100/4;
select;100;100/4;226;423
select;100;100/4;212;409
select;100;100/4;218;414
select;100;100/4;186;365
select;100;100/4;186;379
select;100;100/4;234;447
select;100;100/4;219;428
select;100;100/4;217;415
select;100;100/4;
select;100;100/4;217;401
select;100;100/4;187;374
select;100;100/4;
select;100;100/4;217;417
select;100;100/4;222;414
select;100;100/4;237;426
select;100;100/4;247;445
select;100;100/4;193;405
select;100;100/4;248;429
select;100;100/4;210;406
select;100;100/4;
select;100;100/4;
select;100;100/4;
select;100;100/4;
select;100;100/4;215;431
select;100;100/4;250;456
select;100;100/4;241;443
select;100;100/4;234;436
select;100;100/4;
select;100;100/4;215;415
select;100;100/4;214;408
select;100;100/4;218;417
select;100;100/4;229;434
select;100;100/4;227;439
select;100;100/4;220;433
select;100;100/4;
select;100;100/4;
select;100;100/4;223;440
select;100;100/4;197;386
select;100;100/4;
select;100;100/4;253;456
select;100;100/4;204;403
select;100;100/4;
select;100;100/4;256;471
select;100;100/4;233;448
select;100;100/4;237;442
select;100;100/4;245;448
select;100;100/4;239;458
select;100;100/4;208;386
select;100;100/4;232;446
select;100;100/4;197;397
select;100;100/4;258;454
select;100;100/4;228;435
select;100;100/4;209;407
select;100;100/4;196;377
select;100;100/4;233;433
select;100;100/4;237;455
select;100;100/4;200;377
select;100;100/4;226;416
select;100;100/4;
select;100;100/4;223;436
select;100;100/4;213;417
select;100;100/4;212;417
select;100;100/4;
select;100;100/4;202;416
select;100;100/4;202;381
select;100;100/4;
select;100;100/4;231;431
select;100;100/4;
select;100;100/4;
select;100;100/4;240;458
select;100;100/4;
select;100;100/4;234;435
select;100;100/4;
select;100;100/4;192;372
select;100;100/4;
select;100;100/4;206;399
select;100;100/4;262;482
select;100;100/4;234;447
select;100;100/4;235;437
select;100;100/4;214;410
select;100;100/4;227;440
select;100;100/4;190;376
select;100;100/4;
select;100;100/4;198;379
select;100;100/4;214;401
select;100;100/4;222;422
select;100;100/4;
select;100;100/4;220;416
select;100;100/4;226;435
select;100;100/4;206;398
select;100;100/4;229;440
select;100;100/4;238;448
select;100;100/4;220;402
select;100;100/2;249;444
select;100;100/2;245;450
select;100;100/2;
select;100;100/2;223;403
select;100;100/2;231;435
select;100;100/2;213;408
select;100;100/2;187;366
select;100;100/2;
select;100;100/2;210;412
select;100;100/2;208;389
select;100;100/2;195;376
select;100;100/2;
select;100;100/2;206;406
select;100;100/2;228;439
select;100;100/2;
select;100;100/2;207;419
select;100;100/2;
select;100;100/2;
select;100;100/2;247;450
select;100;100/2;
select;100;100/2;210;411
select;100;100/2;198;391
select;100;100/2;226;437
select;100;100/2;180;353
select;100;100/2;192;404
select;100;100/2;203;410
select;100;100/2;212;408
select;100;100/2;215;396
select;100;100/2;233;431
select;100;100/2;224;445
select;100;100/2;253;469
select;100;100/2;
select;100;100/2;243;455
select;100;100/2;208;416
select;100;100/2;
select;100;100/2;216;397
select;100;100/2;226;404
select;100;100/2;180;361
select;100;100/2;218;411
select;100;100/2;245;441
select;100;100/2;
select;100;100/2;203;411
select;100;100/2;171;359
select;100;100/2;227;423
select;100;100/2;252;469
select;100;100/2;240;446
select;100;100/2;175;355
select;100;100/2;207;400
select;100;100/2;240;454
select;100;100/2;239;419
select;100;100/2;
select;100;100/2;225;423
select;100;100/2;219;422
select;100;100/2;
select;100;100/2;205;388
select;100;100/2;200;388
select;100;100/2;226;411
select;100;100/2;227;438
select;100;100/2;204;419
select;100;100/2;227;436
select;100;100/2;242;446
select;100;100/2;220;422
select;100;100/2;199;415
select;100;100/2;224;423
select;100;100/2;228;439
select;100;100/2;200;380
select;100;100/2;
select;100;100/2;
select;100;100/2;223;429
select;100;100/2;221;418
select;100;100/2;206;387
select;100;100/2;204;401
select;100;100/2;237;438
select;100;100/2;
select;100;100/2;
select;100;100/2;
select;100;100/2;204;399
select;100;100/2;215;422
select;100;100/2;211;422
select;100;100/2;229;449
select;100;100/2;181;381
select;100;100/2;198;395
select;100;100/2;222;403
select;100;100/2;
select;100;100/2;189;386
select;100;100/2;209;404
select;100;100/2;211;417
select;100;100/2;218;407
select;100;100/2;222;419
select;100;100/2;204;389
select;100;100/2;222;420
select;100;100/2;232;436
